RelativeTime(sec)	ID1-Accerlation-X(G)	ID1-Accerlation-Y(G)	ID1-Accerlation-Z(G)	ID2-Accerlation-X(G)	ID2-Accerlation-Y(G)	ID2-Accerlation-Z(G)	ID3-Accerlation-X(G)	ID3-Accerlation-Y(G)	ID3-Accerlation-Z(G)	Pressure-1(bar)	Pressure-2(bar)	Pressure-3(bar)	Pressure-4(bar)	Pressure-5(bar)	Pressure-6(bar)	Pressure-7(bar)	Pressure-8(bar)	
0.732	0.000	0.000	0.000	0.976	-0.056	0.203	-0.011	-0.007	0.997	0.092	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.737	0.000	0.000	0.000	0.974	-0.057	0.199	-0.009	-0.006	0.995	0.092	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.743	0.000	0.000	0.000	0.981	-0.056	0.195	-0.009	-0.009	1.000	0.092	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.747	0.000	0.000	0.000	0.977	-0.055	0.201	-0.013	-0.004	0.998	0.092	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.753	0.000	0.000	0.000	0.977	-0.053	0.200	-0.008	-0.006	0.999	0.092	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.757	0.000	0.000	0.000	0.978	-0.056	0.201	-0.009	-0.007	0.998	0.092	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.762	0.000	0.000	0.000	0.979	-0.053	0.203	-0.008	-0.003	0.998	0.092	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.768	0.000	0.000	0.000	0.978	-0.056	0.202	-0.010	-0.005	1.000	0.000	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.772	0.000	0.000	0.000	0.977	-0.054	0.206	-0.008	-0.005	1.001	0.000	0.000	0.000	0.000	0.000	98.287	4.030	0.000	
0.777	0.000	0.000	0.000	0.976	-0.054	0.201	-0.008	-0.006	0.995	0.183	0.000	0.000	0.000	0.000	98.378	4.030	0.000	
0.782	0.000	0.000	0.000	0.976	-0.054	0.203	-0.009	-0.005	1.001	0.183	0.000	0.000	0.000	0.000	98.378	3.939	0.000	
0.788	0.000	0.000	0.000	0.979	-0.054	0.202	-0.008	-0.006	1.004	0.000	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.792	0.000	0.000	0.000	0.976	-0.056	0.199	-0.010	-0.008	1.000	0.000	0.000	0.000	0.000	0.000	98.287	4.030	0.000	
0.798	0.000	0.000	0.000	0.980	-0.057	0.199	-0.014	-0.004	1.002	0.092	0.000	0.000	0.000	0.000	98.378	4.030	0.000	
0.802	0.000	0.000	0.000	0.979	-0.055	0.198	-0.010	-0.004	0.997	0.092	0.000	0.000	0.000	0.000	98.378	4.030	0.000	
0.808	0.000	0.000	0.000	0.978	-0.058	0.194	-0.011	-0.006	1.005	0.092	0.000	0.000	0.000	0.000	98.287	4.030	0.000	
